time,voltage,voltage,current,current
0.00109,0.0217979,0.0401458,1.6058e-06,6.194378e-07
0.001091,0.0219041,0.0399983,1.5999e-06,6.190235e-07
0.001092,0.0220102,0.0398507,1.594e-06,6.186092e-07
0.001093,0.0221164,0.0397031,1.5881e-06,6.181949e-07
0.001094,0.0222225,0.0395555,1.5822e-06,6.177807e-07
0.001095,0.0223287,0.0394079,1.5763e-06,6.173664e-07
0.001096,0.0224348,0.0392604,1.5704e-06,6.169521e-07
0.001097,0.022541,0.0391128,1.5645e-06,6.165378e-07
0.001098,0.0226471,0.0389652,1.5586e-06,6.161236e-07
0.001099,0.0227533,0.0388176,1.5527e-06,6.157093e-07
0.0011,0.0228594,0.0386701,1.5468e-06,6.15295e-07
0.001101,0.0229656,0.0385225,1.5409e-06,6.148807e-07
0.001102,0.0230717,0.0383749,1.535e-06,6.144665e-07
0.001103,0.0231779,0.0382273,1.5291e-06,6.140522e-07
0.001104,0.023284,0.0380797,1.5232e-06,6.136379e-07
0.001105,0.0233902,0.0379322,1.5173e-06,6.132236e-07
0.001106,0.0234964,0.0377846,1.5114e-06,6.128093e-07
0.001107,0.0236025,0.037637,1.5055e-06,6.123951e-07
0.001108,0.0237087,0.0374894,1.4996e-06,6.119808e-07
0.001109,0.0238148,0.0373419,1.4937e-06,6.115665e-07
0.00111,0.023921,0.0371943,1.4878e-06,6.111522e-07
0.001111,0.0240271,0.0370467,1.4819e-06,6.10738e-07
0.001112,0.0241333,0.0368991,1.476e-06,6.103237e-07
0.001113,0.0242394,0.0367515,1.4701e-06,6.099094e-07
0.001114,0.0243456,0.036604,1.4642e-06,6.094951e-07
0.001115,0.0244517,0.0364564,1.4583e-06,6.090809e-07
0.001116,0.0245579,0.0363088,1.4524e-06,6.086666e-07
0.001117,0.024664,0.0361612,1.4464e-06,6.082523e-07
0.001118,0.0247702,0.0360137,1.4405e-06,6.07838e-07
0.001119,0.0248763,0.0358661,1.4346e-06,6.074237e-07
0.00112,0.0249825,0.0357185,1.4287e-06,6.070095e-07
0.001121,0.0250886,0.0355709,1.4228e-06,6.065952e-07
0.001122,0.0251948,0.0354233,1.4169e-06,6.061809e-07
0.001123,0.0253009,0.0352758,1.411e-06,6.057666e-07
0.001124,0.0254071,0.0351282,1.4051e-06,6.053524e-07
0.001125,0.0255132,0.0349806,1.3992e-06,6.049381e-07
0.001126,0.0256194,0.034833,1.3933e-06,6.045238e-07
0.001127,0.0257255,0.0346855,1.3874e-06,6.041095e-07
